title,matched_categories_ml,matched_scores_ml,source
"진천군의회, CJ제일제당 블로썸캠퍼스 방문",,,industry_risk
"진천군의회, CJ제일제당 블로썸캠퍼스 소통 간담회 성료",,,industry_risk
"진천군의회, 기업체 소통 강화 지속··· 30일 CJ제일제당(주) 블로썸캠...",,,industry_risk
락앤락 ‘그린메이트 20기’ 모집,"ESG 관련 캠페인,폐기물 배출,ESG 관련 학생 동아리,청정 재생에너지,에너지 사용 절감 및 체계적 관리,지역사회 ESG 파트너십,지역사회 ESG 교육 프로그램,탄소배출량,ESG 비교과 프로그램 개발 및 운영","0.57,0.474,0.467,0.446,0.438,0.433,0.427,0.407,0.4",industry_risk
BTL 시장 온도차…그린스마트 미래학교 ‘인기’ 대학시설 ‘외면’,,,industry_risk
"락앤락, 대학생 '그린메이트 20기' 모집…환경보호 실천","ESG 관련 캠페인,ESG 관련 학생 동아리","0.556,0.41",industry_risk
"락앤락, 대학생 친환경 서포터즈 ‘그린메이트 20기’ 모집","ESG 관련 캠페인,ESG 관련 학생 동아리,지역사회 ESG 교육 프로그램","0.532,0.452,0.411",industry_risk
"'딸맘' 강소라, 캠퍼스룩도 문제 없는 동안 비주얼",,,industry_risk
"MLB, 워너비 캠퍼스 라이프 S/S 쇼케이스 공개",,,industry_risk
익산시 ‘그린바이오’로 미래 농업 선도한다,,,industry_risk
"익산, 그린바이오산업 집중 육성",,,industry_risk
"익산시, 그린바이오 특화분야 전문가 토론회 개최",,,industry_risk
"익산시, '그린바이오'를 선도하며 대한민국 미래농업 이끌어",,,industry_risk
"[에너지 뉴스]남부발전-SK C&C, 에너지 자립형스마트그린산단 추진 협약...",,,industry_risk
청주 오송 바이오메디컬 캠퍼스 조성 '빨간불(?)',,,industry_risk
그린 스타트업 조성 등 서부경남 발전 이끌 공모사업 '도전',지역사회 ESG 파트너십,0.405,industry_risk
"익산시, '그린바이오'로 대한민국 미래농업 선도",,,industry_risk
"""그린바이오 벤처 캠퍼스 유치， 경쟁력 강화""",,,industry_risk
"조규일 진주시장, ‘그린바이오 벤처 캠퍼스’ 유치 추진",,,industry_risk
"조규일 진주시장 ""그린바이오산업 육성 본격화""",,,industry_risk
"김준 SK이노 부회장 ""뉴 그린 포트폴리오 구축""",ESG 위원회 조직,0.531,industry_risk
"시스코 ""국내 스마트팩토리·그린 데이터센터 지원""…CDA2.0 추진계획 발...",지역사회 ESG 파트너십,0.418,industry_risk
