"indicator","issue_exposure","impact_materiality","total_exposure","article_count","esg_category"
"취약계층 지원강화","3.76","5.0","2577.3","2732","S"
"ESG 위원회 조직","3.58","4.15","2417.5","2548","G"
"탄소배출량","5.0","2.07","3183.8","3262","E"
"폐기물 배출","4.22","1.14","2643.0","2695","E"
"캠퍼스 차량","1.81","3.0","1247.2","1390","E"
"지역사회 ESG 파트너십","3.3","1.28","2130.1","2172","H"
"다양성과 형평성 추진체계","1.88","1.73","1192.2","1246","S"
"유해 폐기물관리","2.4","0.75","1453.7","1480","E"
"부패예방 및 청렴 강화","2.87","0.04","1710.3","1712","G"
"청정 재생에너지","1.6","0.41","1007.8","1019","E"
"회계의 투명성 관리","1.55","0.36","961.3","981","G"
"작업장의 건강 및 안전","1.32","0.03","776.6","778","S"
"에너지 사용 절감 및 체계적 관리","0.75","0.41","488.6","504","E"
"인권침해 예방 및 인권보장","1.11","0.0","642.0","642","S"
"물 사용량","0.42","0.63","286.8","305","E"
"음식물 쓰레기 저감","0.37","0.42","241.9","261","E"
"ESG 관련 캠페인","0.43","0.12","273.5","277","H"
"교직원 복지향상 노력","0.41","0.1","253.0","256","S"
"ESG 관련 학생 동아리","0.37","0.07","233.4","234","H"
"ESG 운영위원회의 다양성","0.42","0.0","258.0","258","G"
"지역사회 ESG 교육 프로그램","0.01","0.0","9.0","9","H"
