"indicator","issue_exposure","impact_materiality","total_exposure","article_count","esg_category"
"지역사회 ESG 파트너십","5.0","5.0","2966.4","3090","H"
"취약계층 지원강화","3.22","4.96","1971.4","2094","S"
"ESG 위원회 조직","2.61","4.66","1629.6","1750","G"
"캠퍼스 차량","1.61","2.65","984.3","1097","E"
"탄소배출량","3.02","1.08","1693.2","1724","E"
"폐기물 배출","2.95","0.46","1610.4","1627","E"
"다양성과 형평성 추진체계","1.58","1.77","916.3","964","S"
"유해 폐기물관리","2.37","0.85","1294.4","1322","E"
"부패예방 및 청렴 강화","2.68","0.05","1398.3","1400","G"
"지역사회 ESG 교육 프로그램","1.87","0.11","1031.8","1036","H"
"청정 재생에너지","1.18","0.39","660.1","669","E"
"회계의 투명성 관리","1.06","0.4","579.2","598","G"
"작업장의 건강 및 안전","1.3","0.06","699.4","701","S"
"인권침해 예방 및 인권보장","1.21","0.0","623.0","623","S"
"물 사용량","0.33","0.75","209.8","228","E"
"에너지 사용 절감 및 체계적 관리","0.49","0.49","287.3","302","E"
"ESG 관련 캠페인","0.58","0.37","336.6","346","H"
"음식물 쓰레기 저감","0.27","0.51","167.9","187","E"
"지역사회 ESG 교육 프로그램,ESG 운영위원회의 다양성","0.62","0.06","344.4","346","H"
"교직원 복지향상 노력","0.36","0.12","199.0","202","S"
"ESG 운영위원회의 다양성","0.37","0.07","204.1","207","G"
"지역사회 ESG 파트너십,ESG 관련 캠페인","0.05","0.36","41.9","51","H"
"지역사회 ESG 교육 프로그램,ESG 운영위원회의 다양성,ESG 관련 학생 동아리","0.37","0.02","206.8","207","H"
"ESG 관련 학생 동아리","0.22","0.02","120.9","122","H"
"지역사회 ESG 파트너십,지역사회 ESG 교육 프로그램","0.12","0.08","68.6","71","H"
"ESG 비교과 프로그램 개발 및 운영","0.05","0.15","32.7","39","H"
"지역사회 ESG 교육 프로그램,지역사회 ESG 파트너십","0.14","0.0","76.0","76","H"
"ESG 운영위원회의 다양성,지역사회 ESG 교육 프로그램","0.13","0.0","70.0","70","H"
"ESG 교육과정 및 교수학습 방법,ESG 비교과 프로그램 개발 및 운영","0.01","0.09","10.8","11","H"
"ESG 관련 캠페인,지역사회 ESG 교육 프로그램","0.07","0.02","41.0","41","H"
"지역사회 ESG 파트너십,ESG 관련 캠페인,지역사회 ESG 교육 프로그램","0.0","0.09","5.7","9","H"
"지역사회 ESG 교육 프로그램,ESG 위원회 조직","0.09","0.0","52.0","52","H"
"ESG 관련 캠페인,지역사회 ESG 파트너십","0.06","0.03","33.2","34","H"
"ESG 운영위원회의 다양성,지역사회 ESG 교육 프로그램,ESG 관련 학생 동아리","0.09","0.0","49.0","49","H"
"지역사회 ESG 교육 프로그램,ESG 관련 학생 동아리,ESG 운영위원회의 다양성","0.07","0.01","38.4","39","H"
"에너지 사용 절감 및 체계적 관리,청정 재생에너지","0.0","0.08","5.4","8","H"
"지역사회 ESG 교육 프로그램,ESG 관련 캠페인","0.08","0.0","42.0","42","H"
"ESG 관련 캠페인,ESG 비교과 프로그램 개발 및 운영","0.04","0.04","22.7","24","H"
"지역사회 ESG 교육 프로그램,ESG 관련 캠페인,ESG 운영위원회의 다양성","0.03","0.04","15.7","17","H"
"ESG 교육과정 및 교수학습 방법","0.01","0.06","10.6","11","H"
"ESG 위원회 조직,지역사회 ESG 교육 프로그램","0.06","0.0","31.0","31","H"
"ESG 운영위원회의 다양성,ESG 관련 학생 동아리,지역사회 ESG 교육 프로그램","0.06","0.0","35.0","35","H"
"ESG 관련 학생 동아리,ESG 운영위원회의 다양성","0.02","0.03","12.2","14","H"
"ESG 관련 학생 동아리,지역사회 ESG 교육 프로그램,ESG 운영위원회의 다양성","0.05","0.0","25.0","25","H"
"캠퍼스 차량,에너지 사용 절감 및 체계적 관리,청정 재생에너지","0.0","0.05","3.0","4","H"
"ESG 운영위원회의 다양성,ESG 관련 학생 동아리","0.04","0.01","22.4","23","H"
"지역사회 ESG 파트너십,지역사회 ESG 교육 프로그램,ESG 위원회 조직","0.03","0.02","17.8","18","H"
"ESG 비교과 프로그램 개발 및 운영,ESG 교육과정 및 교수학습 방법","0.01","0.03","7.5","9","H"
"지역사회 ESG 교육 프로그램,ESG 위원회 조직,ESG 운영위원회의 다양성","0.04","0.0","21.0","21","H"
"지역사회 ESG 교육 프로그램,ESG 운영위원회의 다양성,ESG 위원회 조직","0.04","0.0","21.0","21","H"
"ESG 관련 캠페인,폐기물 배출","0.02","0.02","9.8","11","H"
